index,showTime,danmuType,color,fontSize,content,submitTime,sender
"68","523.184","R2L","FFFFFF","25","说我吗","1567784993","ad0397ad"
"69","526.952","R2L","FFFFFF","25","不会。她能从我的手机里头爬出来算她牛逼","1549067668","8773e991"
"70","526.572","R2L","FFFFFF","25","我家没电话","1512388213","39d15e03"
"71","526.727","R2L","FFFFFF","25","升级一下网络","1512380348","b9cf57a8"
"72","520.133","R2L","FFFFFF","25","手机党你们跑不了，鬼来电在等着你们","1512380193","825d38f2"
"73","518.301","R2L","FFFFFF","25","还好我家没电视","1512379396","6907a70f"
"74","519.931","R2L","FFFFFF","25","满分作文","1513320661","d1f9ddc4"
"75","518.764","R2L","FFFFFF","25","中国恐怖片最后让你发现原来是做梦","1558162589","d73b3475"
"76","521.33","R2L","FFFFFF","25","巧了，我半夜在看吉泽老师~~有种就爬出来~~~","1512452059","14a704d9"
"77","512.445","R2L","FFFFFF","25","没事你在中国","1512390976","d24f87f6"
"78","511.861","R2L","00FF00","25","太过恐怖片也可怕","1512386915","3451e434"
"79","510.801","R2L","FFFFFF","25","我怀疑老烟斗是我们之前看贞子录像带的人","1512389929","dca32968"
"80","511.876","R2L","FFFFFF","25","阿门","1512831177","2ec56b1d"
"81","515.947","R2L","FFFFFF","25","哪个大哥留下种子","1516774390","3465936b"
"82","511.861","R2L","00FF00","25","泰国……","1512386922","3451e434"
"83","512.428","R2L","FFFFFF","25","手机看钻不出的，贞子漫画可以从手机伸头发出来拉人的","1512391200","cb365008"
"84","512.982","R2L","FFFFFF","25","看过贞子成人版的路过！","1512389050","69d5841d"
"85","512.693","R2L","FFFFFF","25","手机钻不出来的笑死我","1512388263","81cc9271"
"86","512.717","R2L","FFFFFF","25","我觉得中国恐怖片更贴近生活","1519900811","2aadf39b"
"87","511.682","R2L","FFFFFF","25","这个和咒怨 我一个人看完的！怎没啥吓人的","1550779490","d291483e"
"88","514.565","R2L","FFFFFF","25","害怕","1512397553","236352ea"
"89","515.373","R2L","FFFFFF","25","贞子怕死宅，你懂我意思吧（ಡωಡ) ","1512386881","35251efb"
"90","507.657","R2L","FFFFFF","25","你用手机看的，她钻不出来","1512381418","d5c5522e"
"91","505.852","R2L","FFFFFF","25","女主好看","1547612272","45007fd6"
"92","505.173","R2L","FFFFFF","25","贞子大战伽椰子","1512391965","52e36d7d"
"93","507.99","R2L","FFFFFF","25","刘巧巧那个等等我","1550925448","bc56ebf7"
